"date","acn_volume","adbe_volume","amd_volume","crm_volume","ibm_volume","intc_volume","intu_volume","nflx_volume","sony_volume","txn_volume"
"2013-04-22","2333800","2026400","14131700","4897800","10298288","52817000","1601200","84870100","1574600","10722800"
"2013-04-23","3285900","2163800","14550400","4115200","6585721","62494100","1687500","114860900","1457600","15246700"
"2013-04-24","3654900","2223500","16537800","2671100","3863819","54282000","1525800","46898600","1671700","12074200"
"2013-04-25","3477400","2131900","20971000","5148900","4864841","109178000","15922300","29274000","6623600","11218600"
"2013-04-26","2683300","2300100","17317200","2646100","3650854","101377300","9119200","21790300","4836100","6990800"
"2013-04-29","3947700","3553200","11220000","2651800","6205290","102141600","4182700","20787200","1156000","5335500"
"2013-04-30","3333600","4313200","32647200","3806600","7886735","41468900","5255700","25071200","1837900","7430700"
"2013-05-01","3600800","3817600","88006700","6423600","5124459","38373800","2485000","18359600","1383300","15212000"
"2013-05-02","3432600","2738500","74185900","3598400","4126575","33486300","2343800","18328800","2310700","9582100"
"2013-05-03","3485800","4226500","87328700","2897000","4699364","30085800","2367400","15431500","2661400","11805400"
"2013-05-06","4917800","3078200","51378200","4305700","5048519","31009100","2033500","31731000","2202000","6140200"
"2013-05-07","2567800","6863000","35339500","2803000","3609746","38605600","1543400","17079300","3920600","5820100"
"2013-05-08","3095000","3318900","57017200","3029900","3767378","24900600","2067300","17623200","3401300","6355900"
"2013-05-09","2155200","9319000","47232300","6062100","3705246","31333900","3915200","36108800","3576700","7754600"
"2013-05-10","2193600","4571200","30586600","4287000","3430043","22554800","2401400","18844700","3040300","8742300"
"2013-05-13","1739400","2768000","54889400","2945200","3816226","28535200","2206000","41357400","6131600","9398700"
"2013-05-14","2264900","4305000","53292800","4117200","3869886","36694400","2114100","38535700","35332500","7124900"
"2013-05-15","2382900","3646000","39347300","3099500","4213393","33568900","3318100","36029700","8201700","11922000"
"2013-05-16","2528800","2609100","80221500","7165000","4714322","29812900","2417400","28053200","4722100","10209300"
"2013-05-17","2567600","3688200","33952700","4787600","5966489","36277400","2247700","20141100","4723800","10018700"
"2013-05-20","3026700","1491100","35458600","6331700","3780767","31324400","1727000","14765800","3586900","8727600"
"2013-05-21","2674600","1828200","36560500","6112600","3120113","37917900","5136400","11491200","22419000","6651600"
"2013-05-22","3092700","3026400","28771500","6717200","5425393","49686400","7938200","21769300","15075100","10122900"
