Date,Open,High,Low,Close,Adj Close,Volume
1/22/2013,36.990002,38.07,36.830002,38,36.194408,3931300
1/23/2013,37.82,37.849998,36.48,37.560001,35.775318,5343900
1/24/2013,37.68,37.939999,37.27,37.73,35.937237,2591300
1/25/2013,37.84,37.990002,37.73,37.740002,35.946762,3911400
1/28/2013,37.700001,37.700001,36.990002,37.380001,35.603874,4148200
1/29/2013,37.380001,37.580002,36.360001,36.66,34.918072,6906500
1/30/2013,36.560001,38.139999,36.459999,38.07,36.261082,5116600
1/31/2013,37.779999,38,37.580002,37.650002,35.861038,1788200
2/1/2013,38.119999,38.459999,37.740002,38.220001,36.403954,2636800
2/4/2013,38.02,38.470001,37.43,37.610001,35.822945,3206500
2/5/2013,37.049999,39.599998,36.540001,37.509998,35.727695,6927500
2/6/2013,37.41,37.810001,37.09,37.18,35.413368,3206600
2/7/2013,37.299999,37.5,36.810001,37.07,35.308594,3716000
2/8/2013,37.299999,37.490002,37.16,37.220001,35.451473,1868500
2/11/2013,37.169998,37.669998,36.619999,36.66,34.918072,3524300
2/12/2013,36.119999,36.529999,35.849998,36.450001,34.71806,22095600
2/13/2013,36.93,37.189999,36.349998,36.889999,35.13715,7184700
2/14/2013,36.740002,37.110001,36.73,36.830002,35.079998,2861800
2/15/2013,36.799999,36.98,36.099998,36.279999,34.556126,2785000
2/19/2013,36.279999,36.509998,35.630001,36.41,34.679958,5254700
2/20/2013,36.32,36.360001,35.290001,35.41,33.727478,5442600
2/21/2013,35.5,35.98,35.150002,35.790001,34.089417,6301100
2/22/2013,35.810001,35.970001,35.619999,35.759998,34.060837,2357600
2/25/2013,35.84,36.049999,35.169998,35.209999,33.536976,3180000
2/26/2013,35.209999,35.799999,34.900002,35.639999,33.946545,3706700
2/27/2013,35.509998,36.860001,35.389999,36.68,34.937134,11416400
2/28/2013,36.599998,37.650002,36.529999,37.09,35.327637,8893200
3/1/2013,37,37.5,36.580002,36.959999,35.203819,3892700
3/4/2013,36.73,37.27,36.279999,36.650002,34.908546,5424100
3/5/2013,36.77,37.220001,36.77,36.939999,35.184772,6738100
3/6/2013,37,37.240002,36.799999,36.91,35.156193,2972000
3/7/2013,36.849998,37.459999,36.849998,37.040001,35.280022,4086100
3/8/2013,37.099998,37.5,37.09,37.25,35.480053,6147300
3/11/2013,37.25,38.119999,37.25,37.790001,35.994381,4089100
3/12/2013,37.77,38.27,37.77,38.02,36.213455,2954000
3/13/2013,37.990002,38.41,37.939999,38.279999,36.461105,3215500
3/14/2013,38.450001,38.790001,38.27,38.450001,36.623024,4670300
3/15/2013,38.43,38.509998,37.799999,37.919998,36.118206,5918200
3/18/2013,37.73,37.889999,37.380001,37.779999,35.984856,2789400
3/19/2013,38.040001,38.439999,37.93,38.27,36.451576,4119500
3/20/2013,38.5,38.860001,38.290001,38.560001,36.727806,2375700
3/21/2013,38.299999,38.830002,38.09,38.560001,36.727806,2245300
3/22/2013,38.759998,39.77,38.700001,39.310001,37.442169,3199400
3/25/2013,39.32,39.959999,39.25,39.400002,37.527885,2710400
3/26/2013,39.549999,40.25,39.490002,40.189999,38.280354,3183800
3/27/2013,40.130001,40.650002,39.720001,40.43,38.508945,2395600
3/28/2013,40.43,40.919998,40.419998,40.630001,38.699448,3415000
4/1/2013,40.5,41.200001,40.220001,40.720001,38.785168,2679900
4/2/2013,41.400002,41.5,39.110001,39.860001,37.966026,6662000
4/3/2013,39.799999,39.799999,37.669998,37.91,36.108685,7316000
4/4/2013,37.790001,37.860001,36.529999,37.689999,35.899136,9090700
4/5/2013,37.200001,38.139999,37.09,37.48,35.69912,4232000
4/8/2013,37.5,37.790001,37.119999,37.700001,35.908653,1248800
4/9/2013,37.700001,38.080002,37.150002,37.630001,35.841991,3932700
4/10/2013,36.400002,37,35.849998,36.669998,34.927605,9024900
4/11/2013,36.689999,38.52,36.419998,38.43,36.603981,5767000
4/12/2013,38.169998,38.689999,38.029999,38.32,36.499207,2445200
4/15/2013,38.060001,38.5,36.299999,36.720001,34.975227,4647300
4/16/2013,35.59,37.880001,35.549999,37.869999,36.07058,8599600
4/17/2013,37.549999,37.810001,36.650002,37.540001,35.756264,3630900
4/18/2013,37.66,37.66,36.639999,36.919998,35.165726,2129600
4/19/2013,37.279999,37.970001,36.950001,37.66,35.87056,1629900
4/22/2013,37.689999,37.98,36.810001,37.720001,35.927711,2404800
4/23/2013,37.73,38.080002,37.439999,37.860001,36.061062,2549700
4/24/2013,37.919998,38.490002,37.290001,38.16,36.346802,4710600
4/25/2013,37.98,38.310001,37.450001,37.939999,36.137264,5820100
4/26/2013,38.169998,38.549999,37.790001,38.25,36.432533,3672500
4/29/2013,40.5,41.830002,40.110001,40.369999,38.451794,8188100
4/30/2013,40.259998,40.849998,39.560001,39.889999,37.994602,4421100
5/1/2013,39.75,40.080002,39.220001,39.490002,37.613605,3833400
5/2/2013,39.5,40.939999,38.560001,40.470001,38.54705,4845000
5/3/2013,40.669998,41.529999,40.349998,41,39.051865,4749300
5/6/2013,41.07,41.799999,40.790001,41.400002,39.43285,2701400
5/7/2013,41.41,41.560001,41.080002,41.18,39.223305,2232200
5/8/2013,40.650002,41.009998,39.98,40.439999,38.518471,3209800
5/9/2013,40.5,40.709999,39.810001,40.34,38.423225,3413300
5/10/2013,40.279999,41.09,40.16,40.73,38.794685,1769000
5/13/2013,40.459999,40.939999,40.450001,40.689999,38.756592,1433700
5/14/2013,40.790001,41.060001,40.599998,40.810001,38.870892,1292900
5/15/2013,40.299999,40.619999,39.720001,40.200001,38.289875,2765100
5/16/2013,40.139999,40.209999,39.439999,39.490002,37.613605,1937000
5/17/2013,39.549999,39.610001,38.709999,39.09,37.232613,4598400
5/20/2013,38.98,39.060001,37.369999,38.200001,36.384903,6896000
5/21/2013,38.25,38.439999,37.560001,37.66,35.87056,4303500
5/22/2013,37.439999,38.5,36.919998,37.290001,35.518154,5321800
5/23/2013,37.040001,38.040001,36.669998,37.900002,36.099159,3283800
5/24/2013,37.709999,37.84,37.380001,37.529999,35.746742,1453300
5/28/2013,37.959999,38.68,37.720001,38.310001,36.489674,1945900
5/29/2013,38.099998,38.130001,37.490002,38.029999,36.222977,1977100
5/30/2013,38.139999,39.200001,38.110001,38.82,36.975437,2787200
5/31/2013,38.779999,39.669998,38.529999,39.060001,37.204044,2975900
6/3/2013,39.130001,39.41,38.419998,39.279999,37.413589,2369800
6/4/2013,39.200001,39.75,38.75,39.02,37.165943,2791600
6/5/2013,38.75,38.900002,37.869999,38.110001,36.299187,4227700
6/6/2013,38.259998,38.799999,37.880001,38.400002,36.575401,4427000
6/7/2013,38.619999,39.799999,38.48,39.599998,37.718376,3024500
6/10/2013,39.599998,40.48,39.52,40.240002,38.327969,3366200
6/11/2013,39.779999,40.330002,39.540001,39.73,37.842209,2670400
6/12/2013,40.240002,40.290001,39.130001,39.529999,37.651703,3204400
6/13/2013,39.419998,40.439999,39.209999,40.290001,38.375599,2917800
6/14/2013,40.25,40.32,39.810001,39.900002,38.004124,1637300
6/17/2013,40.27,40.27,38.689999,39.259998,37.394543,4547900
6/18/2013,39.209999,39.279999,38.740002,38.830002,36.984966,3634400
6/19/2013,38.830002,39.099998,37.900002,38.75,36.908772,6374200
6/20/2013,38.27,38.490002,37.130001,37.68,35.889603,5774100
6/21/2013,37.82,37.919998,36.380001,37.439999,35.661022,4372100
6/24/2013,37.130001,37.84,35.98,36.599998,34.860924,4815200
6/25/2013,36.759998,37.220001,36.439999,36.619999,34.879986,2091300
6/26/2013,36.75,37.240002,36.130001,36.52,34.784725,2703200
6/27/2013,36.549999,36.959999,36.080002,36.389999,34.660908,7830200
6/28/2013,36.23,36.470001,35.400002,36.060001,34.346596,16042800
7/1/2013,36.41,37.189999,36.259998,36.939999,35.184772,4618100
7/2/2013,36.970001,37.189999,36.48,36.91,35.156193,3029100
7/3/2013,35.779999,36.200001,35.200001,35.490002,33.803673,6750800
7/5/2013,35.639999,36.060001,35.450001,35.860001,34.15609,3541000
7/8/2013,36.080002,36.529999,35.799999,36.450001,34.71806,2695400
7/9/2013,36.740002,37.139999,36.029999,36.869999,35.118099,3585700
7/10/2013,36.970001,37.389999,36.669998,37.27,35.499084,2506200
7/11/2013,37.52,37.66,36.990002,37.240002,35.470528,2707300
7/12/2013,37.330002,37.639999,37.139999,37.619999,35.83247,2324900
7/15/2013,37.900002,37.900002,36.970001,37.209999,35.441944,2701200
7/16/2013,38.5,39.25,38.169998,38.860001,37.01355,10196400
7/17/2013,39.07,39.07,38.369999,38.490002,36.661129,4031400
7/18/2013,38.450001,39.240002,38.450001,39.16,37.299286,4280400
7/19/2013,38.689999,39.200001,38.279999,38.630001,36.794476,4880000
7/22/2013,38.529999,39.34,38.290001,39.220001,37.356441,2298600
7/23/2013,39.209999,39.279999,38.610001,39.099998,37.242142,2244800
7/24/2013,39.099998,39.23,38.66,38.759998,36.918293,1463800
7/25/2013,38.540001,38.700001,38.439999,38.68,36.842098,1292300
7/26/2013,38.709999,39.900002,38.68,39.740002,37.85173,2830800
7/29/2013,39.700001,40.130001,39.009998,39.049999,37.194511,1955300
7/30/2013,39.25,39.290001,38.080002,39.09,37.232613,3886800
7/31/2013,39.110001,39.209999,38.84,39,37.146893,3357300
8/1/2013,39,39.959999,38.400002,39.080002,37.223099,4306200
8/2/2013,39,39.279999,38.869999,39.040001,37.184986,2318400
8/5/2013,39.040001,39.740002,38.98,39.560001,37.680286,1848400
8/6/2013,39.52,39.52,38.080002,38.330002,36.508736,3576700
8/7/2013,38.18,38.419998,37.799999,38.060001,36.251556,2097600
8/8/2013,38.200001,38.810001,38.189999,38.529999,36.699211,2134700
8/9/2013,38.580002,39.200001,38.529999,39.009998,37.15641,2298400
8/12/2013,39.02,39.119999,38.560001,38.77,36.927826,1303000
8/13/2013,38.880001,39.09,38.360001,38.630001,36.794476,2109800
8/14/2013,38.82,39.5,38.709999,39.119999,37.261192,2620900
8/15/2013,38.630001,38.830002,37.98,38.41,36.58493,2304500
8/16/2013,38.419998,38.450001,37.799999,37.900002,36.099159,1926500
8/19/2013,37.959999,38.380001,37.75,38.049999,36.242043,2391000
8/20/2013,38.099998,38.779999,38,38.580002,36.746857,1957800
8/21/2013,38.509998,38.759998,38.099998,38.259998,36.442055,2558900
8/22/2013,38.43,38.990002,38.23,38.5,36.670647,1307600
8/23/2013,38.5,38.509998,38.040001,38.259998,36.442055,2651900
8/26/2013,38.330002,39.639999,38.209999,39.380001,37.508839,2657900
8/27/2013,38.889999,39.119999,38.389999,38.5,36.670647,2855500
8/28/2013,38.5,39,38.41,38.57,36.737324,2032200
8/29/2013,38.470001,39.110001,38.470001,38.75,36.908772,1317500
8/30/2013,38.709999,38.869999,37.990002,38.189999,36.375381,2079000
9/3/2013,38.310001,38.869999,38.299999,38.68,36.842098,2128900
9/4/2013,38.75,38.75,38.400002,38.509998,36.680176,1320000
9/5/2013,38.439999,38.919998,38.439999,38.689999,36.851624,5440800
9/6/2013,38.779999,39.889999,38.490002,39.52,37.642185,2394300
9/9/2013,39.509998,39.549999,38.43,38.84,36.994499,4034300
9/10/2013,39.029999,39.540001,39.02,39.34,37.470741,2707800
9/11/2013,39.349998,39.830002,39.349998,39.700001,37.813629,1760400
9/12/2013,39.669998,39.91,38.950001,39.740002,37.85173,3206300
9/13/2013,39.860001,40.580002,39.75,40.290001,38.375599,2843500
9/16/2013,40.73,41.57,40.700001,41.099998,39.147102,2959700
9/17/2013,41.040001,41.32,40.619999,41.310001,39.347134,1912200
9/18/2013,41.5,42.75,41.360001,42.75,40.718708,6365800
9/19/2013,42.75,43.110001,42.290001,42.34,40.32819,3376000
9/20/2013,42.34,42.5,41.799999,42.16,40.156742,3706700
9/23/2013,42.18,42.18,41.5,42.009998,40.013866,2068900
9/24/2013,41.869999,42.049999,41.299999,41.450001,39.480476,3862300
9/25/2013,41.779999,42.130001,41.560001,42.029999,40.032921,2566700
9/26/2013,42.209999,42.560001,42.060001,42.369999,40.356758,1819000
9/27/2013,42.07,42.57,41.91,42.07,40.071022,2767500
9/30/2013,41.959999,43,41.77,42.75,40.718708,3834200
10/1/2013,42.810001,44.610001,42.599998,44.599998,42.480804,7655000
10/2/2013,44.529999,45.459999,44.27,45.34,43.185642,7025000
10/3/2013,45.290001,47.07,45.290001,45.939999,43.757133,8183500
10/4/2013,46,46.599998,45.759998,46.099998,43.909538,3778900
10/7/2013,44.790001,46.509998,44.790001,46.259998,44.061928,3173400
10/8/2013,46.540001,46.700001,45.709999,45.810001,43.633316,4683100
10/9/2013,45.919998,46.689999,45.799999,46.009998,43.823807,4015000
10/10/2013,46.299999,46.75,45.540001,45.650002,43.480923,4319900
10/11/2013,45.68,46.82,45.669998,46.560001,44.347675,3005800
10/14/2013,46.200001,46.450001,45.299999,46.330002,44.128605,2444500
10/15/2013,46.389999,46.439999,45.52,45.900002,43.719036,1690800
10/16/2013,46.060001,46.310001,45.57,46.220001,44.023834,1648600
10/17/2013,46.029999,47.470001,46.029999,47.380001,45.128723,2053600
10/18/2013,49.189999,49.52,47.599998,48.540001,46.233601,7156100
10/21/2013,48.540001,48.75,47.43,47.529999,45.271587,2017500
10/22/2013,47.669998,48.029999,46.970001,47,44.766766,3499200
10/23/2013,46.82,46.950001,46.240002,46.77,44.547703,2062200
10/24/2013,46.700001,46.91,45.349998,45.799999,43.623779,5327400
10/25/2013,45.68,47.189999,45.68,46.919998,44.690575,3399400
10/28/2013,46.740002,47.490002,46.639999,47.02,44.785816,1658900
10/29/2013,46.91,47.619999,46.5,47.34,45.090611,2353900
10/30/2013,46.950001,47,46.400002,46.669998,44.45245,9637400
10/31/2013,46.689999,47.450001,46.669998,47.139999,44.900116,5919700
11/1/2013,47.360001,47.68,46.669998,47.310001,45.062038,3511000
11/4/2013,47.310001,47.740002,47.18,47.740002,45.471611,2842100
11/5/2013,47.16,47.740002,45.860001,46.450001,44.242901,4675800
11/6/2013,46.830002,47.099998,45.049999,45.299999,43.147549,5169300
11/7/2013,45.48,45.5,43.869999,44.240002,42.137913,6181700
11/8/2013,44.450001,45.150002,44.169998,45.130001,42.985622,4251400
11/11/2013,45.150002,45.689999,44.900002,45.5,43.338039,2282800
11/12/2013,45.139999,45.549999,44.630001,45.439999,43.280888,3670800
